Currency,Red cup bottom Value (USDT$),Green cup top value (USDT$)
DOT,unavailable,6.1304000
BUSD,unavailable,unavailable
LTC,unavailable,89.9700000
SHIB,unavailable,0.0000109
TRX,unavailable,0.0661100
AVAX,unavailable,17.3530000
DAI,unavailable,0.9994000
WBTC,27854.0000000,27847.4300000
LINK,7.1184000,7.1116000
UNI,unavailable,5.8793000
LEO,unavailable,3.3802000
ATOM,unavailable,10.9352000
XMR,unavailable,158.0400000
ETC,unavailable,20.2670000
XLM,unavailable,0.1034400
TON,unavailable,2.2121000
OKB,unavailable,41.2110000
BCH,unavailable,123.9200000
FIL,5.7150000,5.7113000
TUSD,unavailable,unavailable
LDO,unavailable,2.3297000
APT,unavailable,10.9469000
HBAR,unavailable,0.0638860
VET,unavailable,0.0237900
CRO,unavailable,0.0677220
NEAR,unavailable,1.9573000
ALGO,unavailable,0.2140100
APE,unavailable,4.1745000
ARB,unavailable,1.1599100
ICP,unavailable,4.9036000
QNT,unavailable,119.9200000
EOS,1.1857000,1.1848000
GRT,unavailable,0.1407410
FTM,unavailable,0.4466400
MANA,unavailable,0.5926400
STX,unavailable,0.7937000
BIT,unavailable,0.5122000
AAVE,75.5700000,75.4100000
THETA,unavailable,1.0410000
CFX,unavailable,0.3712840
XTZ,unavailable,1.0855000
EGLD,unavailable,40.1280000
FLOW,unavailable,0.9739000
AXS,unavailable,8.4020000
SAND,unavailable,0.6310000
CHZ,unavailable,0.1315100
IMX,1.0241000,1.0161000
USDP,unavailable,unavailable
RPL,44.7300000,44.4210000
NEO,unavailable,12.1200000
KCS,8.4810000,unavailable
CRV,unavailable,1.0053000
LUNC,unavailable,0.0001252
KLAY,unavailable,0.2350000
USDD,unavailable,0.9908400
OP,unavailable,2.2255000
BSV,unavailable,35.4670000
CAKE,3.6530000,3.6305000
MKR,unavailable,690.5300000
SNX,unavailable,2.5676000
GMX,unavailable,76.0540000
FXS,9.0090000,8.9500000
MINA,unavailable,0.7194800
ZEC,unavailable,38.2600000
DASH,unavailable,54.9500000
MIOTA,unavailable,unavailable
GUSD,unavailable,unavailable
XEC,unavailable,0.0000313
BTT,unavailable,0.0000006
HT,unavailable,3.5758000
XDC,unavailable,0.0411990
GT,unavailable,5.2430000
PAXG,unavailable,unavailable
TWT,unavailable,1.2306000
RUNE,unavailable,1.5436000
LRC,0.3484000,0.3466400
RNDR,unavailable,1.2613000
CSPR,unavailable,0.0416690
ZIL,unavailable,0.0286370
AGIX,0.3729000,0.3711300
INJ,5.4720000,5.4772000
1INCH,unavailable,0.5227100
ENJ,0.4345000,0.4315800
FLR,unavailable,0.0340990
FEI,unavailable,0.9771000
MASK,unavailable,5.6243700
KAVA,unavailable,0.8572000
BAT,unavailable,0.2722000
CVX,5.2410000,5.1963000
DYDX,unavailable,2.4513000
OSMO,unavailable,0.7630000
NEXO,unavailable,0.6564000
ETHW,3.2350000,3.3803000
XEM,unavailable,0.0400050
SXP,unavailable,0.6137800
SSV,unavailable,34.8976000
WOO,unavailable,0.2063700
CELO,unavailable,0.7012900
HOT,unavailable,0.0019290
BAL,unavailable,6.8545000
ROSE,unavailable,0.0582360
ANKR,unavailable,0.0342400
TFUEL,unavailable,0.0540000
LUNA,unavailable,1.3435000
QTUM,unavailable,3.0840000
RVN,unavailable,0.0252600
T,unavailable,0.0355300
DCR,unavailable,20.5360000
COMP,unavailable,41.8850000
FLOKI,unavailable,0.0000341
ICX,unavailable,0.3111000
AUDIO,unavailable,0.2929000
GNO,110.7000000,109.5400000
YFI,unavailable,8582.8300000
LN,unavailable,41.1120000
AR,unavailable,8.2790000
GALA,unavailable,0.0393200
FET,unavailable,0.3333300
MAGIC,unavailable,1.2796600
BTG,unavailable,15.4805000
ONE,unavailable,0.0205820
MOB,unavailable,1.3863000
KSM,unavailable,32.0200000
ASTR,unavailable,0.0616670
JASMY,unavailable,0.0056449
XCH,unavailable,37.9520000
IOTX,unavailable,0.0275110
ENS,unavailable,12.7600000
GLM,unavailable,0.2431000
BONE,unavailable,1.0548000
SUSHI,unavailable,1.0860000
JST,unavailable,0.0269400
BLUR,unavailable,0.5461000
WAVES,unavailable,2.1200000
ZRX,unavailable,0.2733000
ONT,0.2620000,0.2603000
SC,unavailable,0.0042280
BICO,unavailable,0.4323400
BAND,unavailable,1.8134000
GLMR,unavailable,0.3672000
